"designacion_anio","justicia_federal_o_nacional","cargo_tipo","instancia_tipo","materia","cantidad_varones","cantidad_mujeres"
2018,"Federal","Defensor","Tribunal","Penal",2,1
2018,"Nacional","Defensor","Cámara","Penal",2,0
2018,"Nacional","Defensor","Juzgado","Penal",0,1
2018,"Nacional","Defensor","Tribunal","Penal",2,1
2018,"Federal","Fiscal","Cámara","Múltiple",1,0
2018,"Federal","Fiscal","Cámara","Penal",1,0
2018,"Federal","Fiscal","Juzgado","Penal",4,1
2018,"Nacional","Fiscal","Tribunal","Múltiple",2,0
2018,"Nacional","Fiscal","Juzgado","Penal",1,0
2018,"Nacional","Fiscal","Sin datos","Sin datos",1,0
2018,"Federal","Juez","Cámara","Civil y/o comercial",1,0
2018,"Federal","Juez","Cámara","Contencioso administrativo",1,1
2018,"Federal","Juez","Cámara","Múltiple",3,2
2018,"Federal","Juez","Juzgado","Múltiple",3,0
2018,"Federal","Juez","Cámara","Penal",1,0
2018,"Federal","Juez","Juzgado","Penal",0,1
2018,"Federal","Juez","Tribunal","Penal",5,2
2018,"Federal","Juez","Tribunal","Penal económico",1,0
2018,"Federal","Juez","Juzgado","Seguridad social",1,0
2018,"Federal","Juez","Sin datos","Sin datos",4,0
2018,"Nacional","Juez","Cámara","Civil y/o comercial",5,2
2018,"Nacional","Juez","Juzgado","Civil y/o comercial",10,18
2018,"Nacional","Juez","Cámara","Laboral",1,3
2018,"Nacional","Juez","Juzgado","Laboral",2,3
2018,"Nacional","Juez","Cámara","Penal",1,0
2018,"Nacional","Juez","Juzgado","Penal",6,6
2018,"Nacional","Juez","Tribunal","Penal económico",2,0
2018,"Nacional","Juez","Sin datos","Sin datos",2,1
2019,"Federal","Defensor","Tribunal","Penal",2,0
2019,"Nacional","Defensor","Cámara","Penal",1,0
2019,"Nacional","Defensor","Tribunal","Penal",0,1
2019,"Federal","Juez","Juzgado","Contencioso administrativo",1,0
2019,"Federal","Juez","Juzgado","Múltiple",4,2
2019,"Federal","Juez","Juzgado","Penal",0,1
2019,"Federal","Juez","Tribunal","Penal",6,4
2019,"Federal","Juez","Juzgado","Seguridad social",1,1
2019,"Nacional","Juez","Cámara","Civil y/o comercial",2,1
2019,"Nacional","Juez","Juzgado","Civil y/o comercial",3,1
2019,"Nacional","Juez","Cámara","Laboral",2,1
2019,"Nacional","Juez","Juzgado","Laboral",2,5
2019,"Nacional","Juez","Juzgado","Penal",1,0
2020,"Federal","Defensor","Cámara","Penal",2,1
2020,"Federal","Defensor","Juzgado","Penal",0,1
2020,"Federal","Defensor","Tribunal","Penal",2,2
2020,"Nacional","Defensor","Juzgado","Múltiple",1,0
2020,"Nacional","Defensor","Juzgado","Penal",1,1
2020,"Nacional","Defensor","Juzgado","Sin datos",0,1
2020,"Federal","Fiscal","Cámara","Penal",1,0
2020,"Federal","Fiscal","Juzgado","Penal",0,1
2020,"Federal","Juez","Juzgado","Contencioso administrativo",3,0
2020,"Federal","Juez","Cámara","Electoral",1,0
2020,"Federal","Juez","Cámara","Múltiple",1,0
2020,"Federal","Juez","Juzgado","Múltiple",8,4
2020,"Federal","Juez","Juzgado","Penal",0,1
2020,"Federal","Juez","Tribunal","Penal",2,1
